id,package_name,av. rating,total_reviews,total_sentences,# IG,IG,# IS,IS,# PD,PD,# FR,FR,# O,O,App,GUI,Contents,Pricing,Feature/Functionality,Improvement,Update/Version,Resources,Security,Download,Model,Company,Other,#PD_App,PD + App,#PD_GUI,PD + GUI,#PD_Contents,PD + Contents,#PD_Pricing,PD + Pricing,#PD_Feature/Functionality,PD + Feature/Functionality,#PD_Improvement,PD + Improvement,#PD_Update/Version,PD + Update/Version,#PD_Resources,PD + Resources,#PD_Security,PD + Security,#PD_Download,PD + Download,#PD_Model,PD + Model,#PD_Company,PD + Company,#PD_Other,PD + Other,#FR_App,FR + App,#FR_GUI,FR + GUI,#FR_Contents,FR + Contents,#FR_Pricing,FR + Pricing,#FR_Feature/Functionality,FR + Feature/Functionality,#FR_Improvement,FR + Improvement,#FR_Update/Version,FR + Update/Version,#FR_Resources,FR + Resources,#FR_Security,FR + Security,#FR_Download,FR + Download,#FR_Model,FR + Model,#FR_Company,FR + Company,#FR_Other,FR + Other
115,com.numix.calculator,3.821428571,56,98,5,0.089285714,3,0.053571429,6,0.107142857,5,0.089285714,79,1.410714286,25,17,3,1,33,2,5,1,0,1,1,0,47,4,0.071428571,1,0.017857143,0,0,0,0,3,0.053571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.017857143,1,0.017857143,1,0.017857143,0,0,0,0,4,0.071428571,1,0.017857143,0,0,0,0,0,0,0,0,0,0,0,0,1,0.017857143
119,net.fred.feedex,4.052631579,38,117,6,0.157894737,0,0,12,0.315789474,10,0.263157895,89,2.342105263,24,21,4,0,60,4,6,0,0,3,2,0,34,2,0.052631579,1,0.026315789,0,0,0,0,11,0.289473684,0,0,1,0.026315789,0,0,0,0,1,0.026315789,0,0,0,0,0,0,1,0.026315789,2,0.052631579,1,0.026315789,0,0,10,0.263157895,3,0.078947368,1,0.026315789,0,0,0,0,1,0.026315789,0,0,0,0,0,0
121,net.fred.feedex,3.816666667,60,152,12,0.2,2,0.033333333,15,0.25,12,0.2,111,1.85,33,45,1,2,73,5,9,1,1,1,3,0,45,3,0.05,4,0.066666667,0,0,0,0,11,0.183333333,0,0,1,0.016666667,0,0,1,0.016666667,0,0,0,0,0,0,2,0.033333333,5,0.083333333,5,0.083333333,0,0,0,0,9,0.15,1,0.016666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,com.mgaetan89.showsrage,4.128205128,39,101,8,0.205128205,3,0.076923077,8,0.205128205,14,0.358974359,68,1.743589744,33,24,3,0,62,2,3,0,1,1,4,1,23,4,0.102564103,2,0.051282051,0,0,0,0,5,0.128205128,0,0,0,0,0,0,0,0,0,0,0,0,1,0.025641026,2,0.051282051,3,0.076923077,6,0.153846154,2,0.051282051,0,0,13,0.333333333,1,0.025641026,2,0.051282051,0,0,0,0,0,0,0,0,0,0,0,0
137,marto.rtl_tcp_andro,3.839285714,56,99,5,0.089285714,0,0,16,0.285714286,2,0.035714286,76,1.357142857,21,9,5,0,58,0,12,3,0,1,25,0,26,4,0.071428571,1,0.017857143,1,0.017857143,0,0,16,0.285714286,0,0,3,0.053571429,1,0.017857143,0,0,1,0.017857143,7,0.125,0,0,0,0,0,0,1,0.017857143,0,0,0,0,1,0.017857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.017857143
138,net.osmand.plus,3.551020408,98,316,30,0.306122449,7,0.071428571,25,0.255102041,22,0.224489796,232,2.367346939,90,45,20,10,191,15,28,4,1,8,15,0,70,9,0.091836735,1,0.010204082,2,0.020408163,2,0.020408163,23,0.234693878,0,0,2,0.020408163,0,0,0,0,1,0.010204082,2,0.020408163,0,0,0,0,1,0.010204082,5,0.051020408,2,0.020408163,0,0,18,0.183673469,1,0.010204082,0,0,0,0,1,0.010204082,1,0.010204082,3,0.030612245,0,0,2,0.020408163
140,net.osmand.plus,3.942028986,69,226,19,0.275362319,9,0.130434783,22,0.31884058,9,0.130434783,167,2.420289855,64,37,16,7,128,6,32,1,2,3,9,0,52,7,0.101449275,4,0.057971014,1,0.014492754,2,0.028985507,20,0.289855072,1,0.014492754,7,0.101449275,0,0,0,0,0,0,1,0.014492754,0,0,0,0,6,0.086956522,1,0.014492754,0,0,0,0,9,0.130434783,1,0.014492754,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,org.openintents.safe,3.897637795,127,353,24,0.188976378,2,0.015748031,40,0.31496063,20,0.157480315,267,2.102362205,112,29,18,0,213,2,33,2,3,4,43,1,83,9,0.070866142,2,0.015748031,1,0.007874016,0,0,31,0.244094488,0,0,3,0.023622047,1,0.007874016,0,0,2,0.015748031,3,0.023622047,0,0,6,0.047244094,7,0.05511811,1,0.007874016,0,0,0,0,19,0.149606299,0,0,3,0.023622047,0,0,0,0,0,0,4,0.031496063,0,0,0,0
155,com.nolanlawson.keepscore,4.059405941,101,266,22,0.217821782,1,0.00990099,27,0.267326733,23,0.227722772,193,1.910891089,92,46,17,3,138,5,6,0,0,1,10,5,71,19,0.188118812,4,0.03960396,0,0,1,0.00990099,22,0.217821782,1,0.00990099,2,0.01980198,0,0,0,0,0,0,4,0.03960396,0,0,0,0,5,0.04950495,5,0.04950495,3,0.02970297,0,0,22,0.217821782,0,0,1,0.00990099,0,0,0,0,0,0,1,0.00990099,0,0,1,0.00990099
156,org.thialfihar.android.apg,4.261904762,42,97,7,0.166666667,1,0.023809524,8,0.19047619,2,0.047619048,79,1.880952381,15,11,2,0,52,5,11,0,1,0,7,0,32,0,0,0,0,1,0.023809524,0,0,6,0.142857143,0,0,0,0,0,0,1,0.023809524,0,0,0,0,0,0,1,0.023809524,0,0,1,0.023809524,0,0,0,0,2,0.047619048,0,0,0,0,0,0,0,0,0,0,1,0.023809524,0,0,0,0
