id,package_name,version_code,release_date,NBI,NOC,NOM,IPM,CC,WMC,NOCH,DIT,LCOM,CBO,PPIV,APD,BSMC,WKL,LOCL,GPS,XML,NTO,NET,I/O,SQL,BMAP
1108,org.cyanogenmod.great.freedom,1.8,June 23 2014,45049,502,3887,11.58965783,2899,22447.03785,0,1,0.0,0.414342629,6.586345382,0.268924303,8,1,0,0,0,0,0,10,0,1
1125,org.tomdroid,0.7.5,January 16 2014,26314,219,1252,21.01757189,1110,6345.753425,1,3,36.83331088,0.123287671,16.9250646,1.319634703,65,0,0,0,6,0,1,25,10,0
1128,com.boardgamegeek,4.8.4,January 22 2015,237560,2344,17368,13.67802856,13343,98865.7099,2,5,55.05190747,0.408703072,10.96774194,0.682593857,105,1,0,0,1,4,1,60,31,19
1134,org.xbmc.kore,1.5.0,July 31 2015,305533,2405,16998,17.97464408,18544,131064.8283,4,7,40.19077079,0.375883576,27.68066788,3.252806653,174,0,0,0,1,0,0,35,39,7
1135,org.xbmc.kore,v2.0.0,December 21 2015,287813,2350,15973,18.01871909,16869,114658.9519,4,7,38.07501025,0.361702128,28.68808568,3.332340426,172,0,0,0,1,0,0,35,39,7
1136,org.xbmc.kore,v2.1.0,September 21 2016,308488,2560,17428,17.7007115,18202,123915.8031,4,7,37.89277721,0.35859375,27.65717154,3.09296875,186,0,0,0,1,0,0,36,40,7
1140,jp.takke.cpustats,1.2.2,November 24 2014,7538,21,103,73.18446602,95,465.952381,1,2,21.13769272,0.238095238,4.87804878,0.333333333,2,0,0,0,0,0,0,3,0,0
1141,jp.takke.cpustats,1.3.0,April 22 2015,7809,23,118,66.1779661,108,554.0869565,1,2,23.86715797,0.217391304,4.444444444,0.173913043,3,0,0,0,0,0,0,3,0,0
1145,com.dynamicg.homebuttonlauncher,4.1,December 25 2014,7885,118,536,14.7108209,372,1689.762712,2,2,30.40970145,0.203389831,16.99604743,1.093220339,16,0,0,0,1,0,0,14,0,0
1167,com.pilot51.voicenotify,1.0.11.2,February 10 2014,4080,54,229,17.81659389,183,776.0555556,0,1,33.32243488,0.0,1.398601399,0.0,15,0,0,0,0,0,0,1,13,0
1168,com.pilot51.voicenotify,1.0.12,May 05 2014,4116,54,230,17.89565217,188,800.7407407,0,1,33.26773876,0.0,1.398601399,0.0,15,0,0,0,0,0,0,1,13,0
1175,org.petero.droidfish,1.57,February 17 2015,128963,1011,6885,18.73100944,7856,53500.05935,5,3,35.57388401,0.301681503,10.00935454,0.903066271,86,2,0,0,1,0,0,72,0,1
1176,org.petero.droidfish,1.61,June 18 2016,82245,526,3019,27.24246439,4916,28215.59696,5,3,35.10245789,0.19391635,15.88198368,1.420152091,76,0,0,0,1,0,0,58,0,0
1177,org.petero.droidfish,1.62,August 31 2016,82124,526,3019,27.2023849,4916,28215.59696,5,3,35.10245789,0.19391635,15.88198368,1.420152091,76,0,0,0,1,0,0,58,0,0
1180,com.andybotting.tramhunter,1.3,August 13 2013,73372,569,5339,13.74264844,4870,45695.8348,1,2,42.40666518,0.421792619,10.00844595,0.83655536,63,0,1,0,1,0,3,3,52,0
1181,com.lgallardo.qbittorrentclientpro,3.9.0,April 14 2015,99205,1131,8159,12.15896556,5561,40116.88683,0,1,0.0,0.443854996,10.78431373,0.609195402,47,1,0,0,0,10,5,21,0,3
1188,me.tsukanov.counter,13,October 26 2015,76096,738,6207,12.25970678,5184,43600.39024,0,1,50.85783348,0.475609756,7.466880771,0.382113821,65,1,0,0,1,0,0,19,0,1
1200,org.fedorahosted.freeotp,1.5,November 29 2014,100362,552,3347,29.9856588,5448,33033.43478,2,2,38.04383031,0.601449275,15.14124294,0.922101449,10,0,0,0,0,0,0,7,0,12
1201,org.fedorahosted.freeotp,1.5,January 26 2016,101247,556,3408,29.70862676,5551,34024.83453,2,2,38.04383031,0.604316547,15.32481954,0.947841727,10,0,0,0,0,0,0,7,0,6
1203,org.openintents.filemanager,2.0.3-rc1,August 13 2013,38830,452,3130,12.4057508,2230,15442.25664,1,3,40.12386191,0.261061947,9.906063194,0.435840708,69,0,0,0,0,0,0,44,11,3
1209,com.dngames.mobilewebcam,2.98,April 13 2013,30796,212,1238,24.87560582,1400,8175.471698,1,2,34.42435163,0.202830189,29.12844037,2.966981132,40,2,1,1,0,0,1,26,0,5
1220,org.openintents.notepad,1.3,January 06 2015,10380,97,462,22.46753247,464,2209.979381,1,2,50.45001729,0.092783505,14.28571429,1.051546392,29,0,0,0,0,0,0,8,14,0
1224,com.google.android.marvin.talkback,3.1.1_r68,May 09 2013,45016,499,3372,13.34994069,2836,19164.31263,3,2,41.97513383,0.306613226,8.063450099,0.436873747,17,0,0,0,0,0,0,5,0,0
1230,com.google.android.gms,1.6.7,July 19 2016,152745,1619,12871,11.86737627,9535,75802.95553,0,1,0.0,0.472513897,7.519280206,0.456454602,71,1,1,0,1,0,0,24,0,3
1233,com.eolwral.osmonitor,3.4.1.0,March 17 2015,137853,1348,10853,12.70183359,8057,64868.4132,1,2,47.30131523,0.422848665,7.496283712,0.432492582,100,1,0,0,1,2,0,39,4,6
1234,com.eolwral.osmonitor,3.5.0.6,January 11 2016,166322,1686,13452,12.36410943,9624,76786.50534,1,2,47.30319731,0.420521945,8.260105448,0.476275208,107,1,0,0,1,2,0,39,4,6
