id,package_name,version_code,release_date,cat
926,com.catchingnow.tinyclipboardmanager,1.5.0,May 02 2015,Productivity
929,com.zaren,1.24,September 07 2013,Tools
945,org.wikipedia,2.3.150-fdroid,August 02 2016,Books & Reference
946,org.wikipedia,r/2.3.152-r-2016-08-18,September 11 2016,Books & Reference
947,org.wikipedia,beta/2.4.156-beta-2016-09-19,September 21 2016,Books & Reference
962,org.geometerplus.zlibrary.ui.android,2.0.6-ics,September 03 2014,Books & Reference
963,org.geometerplus.zlibrary.ui.android,2.1-ics,July 11 2015,Books & Reference
974,com.easytarget.micopi,3.4.5,February 04 2016,Personalization
976,com.easytarget.micopi,3.6.11,March 19 2016,Personalization
1010,com.android.keepass,2.0.3,July 25 2015,Tools
1011,com.android.keepass,2.0.4beta1,December 15 2015,Tools
1012,com.android.keepass,2.0.4,December 27 2015,Tools
1013,com.dougkeen.bart,2.2,July 13 2013,Maps & Navigation
1014,com.dougkeen.bart,2.2.6,October 31 2015,Maps & Navigation
1022,ru.gelin.android.browser.open,0.0.7,May 04 2015,Tools
1043,de.mangelow.network,1.03,May 06 2015,Tools
1045,org.scummvm.scummvm,1.5.0,October 29 2013,Games
1046,ch.blinkenlights.battery,1.81,August 23 2012,Tools
1055,org.libreoffice.impressremote,2.1.1,June 10 2014,Productivity
1061,com.mattgmg.miracastwidget,1.8,October 30 2015,Video Players & Editors
1063,com.manor.currentwidget,0.39,July 16 2013,Tools
1064,com.manor.currentwidget,0.4a,March 12 2015,Tools
1066,org.helllabs.android.xmp,3.6.0,May 02 2013,Music & Audio
1067,org.helllabs.android.xmp,3.10.0,August 11 2014,Music & Audio
1075,org.kde.kdeconnect_tp,1.3.2,July 17 2016,Productivity
1076,org.kde.kdeconnect_tp,1.4,August 27 2016,Productivity
1079,com.banasiak.coinflip,5.5.2,April 29 2014,Tools
1082,org.smssecure.smssecure,0.13.2,February 08 2016,Communication
1086,org.smssecure.smssecure,0.14.3,May 14 2016,Communication
1088,net.androgames.level,1.9.7,September 17 2014,Tools
1099,org.scoutant.cc,0.9,January 25 2013,Games
1108,org.cyanogenmod.great.freedom,1.8,June 23 2014,Personalization
1125,org.tomdroid,0.7.5,January 16 2014,Productivity
1128,com.boardgamegeek,4.8.4,January 22 2015,Books & Reference
1134,org.xbmc.kore,1.5.0,July 31 2015,Video Players & Editors
1135,org.xbmc.kore,v2.0.0,December 21 2015,Video Players & Editors
1136,org.xbmc.kore,v2.1.0,September 21 2016,Video Players & Editors
1140,jp.takke.cpustats,1.2.2,November 24 2014,Tools
1141,jp.takke.cpustats,1.3.0,April 22 2015,Tools
1145,com.dynamicg.homebuttonlauncher,4.1,December 25 2014,Tools
1167,com.pilot51.voicenotify,1.0.11.2,February 10 2014,Tools
1168,com.pilot51.voicenotify,1.0.12,May 05 2014,Tools
1175,org.petero.droidfish,1.57,February 17 2015,Games
1176,org.petero.droidfish,1.61,June 18 2016,Games
1177,org.petero.droidfish,1.62,August 31 2016,Games
1180,com.andybotting.tramhunter,1.3,August 13 2013,Travel & Local
1181,com.lgallardo.qbittorrentclientpro,3.9.0,April 14 2015,Tools
1188,me.tsukanov.counter,13,October 26 2015,Tools
1200,org.fedorahosted.freeotp,1.5,November 29 2014,Tools
1201,org.fedorahosted.freeotp,1.5,January 26 2016,Tools
1203,org.openintents.filemanager,2.0.3-rc1,August 13 2013,Productivity
1209,com.dngames.mobilewebcam,2.98,April 13 2013,Photography
1220,org.openintents.notepad,1.3,January 06 2015,Productivity
1224,com.google.android.marvin.talkback,3.1.1_r68,May 09 2013,Tools
1230,com.google.android.gms,1.6.7,July 19 2016,Tools
1233,com.eolwral.osmonitor,3.4.1.0,March 17 2015,Tools
1234,com.eolwral.osmonitor,3.5.0.6,January 11 2016,Tools
1238,de.saschahlusiak.freebloks,0.5.3,June 30 2016,Games
1243,com.commit451.gitlab,2.2.5,March 20 2016,Productivity
1255,com.reicast.emulator,0.r5+,December 29 2013,Entertainment
1258,com.sam.hex,2.4.1,June 03 2013,Games
1289,com.mendhak.gpslogger,27-fdroid,March 05 2013,Travel & Local
1292,com.oakley.fon,1.5.1,November 23 2015,Communication
1293,com.javiersantos.mlmanager,1.0.4,September 03 2015,Tools
1297,app.openconnect,1.02,September 06 2014,Communication
1298,app.openconnect,1.11,July 01 2015,Communication
1300,com.powerpoint45.lucidbrowser,3.7,July 13 2014,Communication
1304,com.emmaguy.cleanstatusbar,1.1.4,October 14 2015,Tools
1307,net.wigle.wigleandroid,2.4,August 20 2014,Tools
1308,net.wigle.wigleandroid,2.10,March 20 2016,Tools
1311,biz.gyrus.yaab,1.10.1,June 29 2014,Tools
1314,apps.droidnotify,3.29.2,April 08 2013,Tools
1321,com.danvelazco.fbwrapper,1.7.3,December 04 2014,Social
1322,com.danvelazco.fbwrapper,1.7.5,February 06 2015,Social
1331,net.nurik.roman.dashclock,1.6,January 27 2014,Personalization
1336,org.scoutant.blokish,3.0,November 15 2015,Games
1337,org.wahtod.wififixer,1.0.3.5,September 03 2014,Tools
1338,org.wahtod.wififixer,1.0.4,July 09 2015,Tools
1339,org.wahtod.wififixer,1.0.5,June 04 2016,Tools
1340,org.androidsoft.app.permission,2.1.0,April 20 2015,Tools
1344,com.ruesga.android.wallpapers.photophase,1.0.12,November 09 2014,Personalization
1351,ro.weednet.contactssync,1.2.2,July 26 2013,Social
1352,ro.weednet.contactssync,2.1.1,June 23 2014,Social
1357,com.asksven.betterbatterystats,1.13.4.0,June 04 2013,Tools
1358,com.asksven.betterbatterystats,1.15.0.0_RC8,January 24 2014,Tools
1359,com.asksven.betterbatterystats,1.15.0.0,February 24 2014,Tools
1361,net.minetest.minetest,0.4.12.12,March 23 2015,Casual
1362,net.minetest.minetest,0.4.13.13,August 22 2015,Casual
